strain	species	date	region	country	location	host	group	collector	authors	title	journal	paper url
16.0783	Pst	26/11/2016	Asia	China	Nanhu, Jiaxing	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0786	Pst	26/11/2016	Asia	China	Nanhu, Jiaxing	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0787	Pst	26/11/2016	Asia	China	Nanhu, Jiaxing	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0788	Pst	27/11/2016	Asia	China	Pingnan, Guizhou	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0789	Pst	27/11/2016	Asia	China	Pingnan, Guizhou	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0790	Pst	27/11/2016	Asia	China	Pingnan, Guizhou	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0791	Pst	27/11/2016	Asia	China	Pingnan, Guizhou	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0793	Pst	27/11/2016	Asia	China	Pingnan, Guizhou	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0794	Pst	28/11/2016	Asia	China	Pingnan, Guizhou	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0796	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0797	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0798	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0799	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0800	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0801	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0802	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0803	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0804	Pst	28/11/2016	Asia	China	Jinshan, Gangu	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0189	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0190	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0191	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0192	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0193	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0194	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0197	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0203	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0204	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0207	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
17.0208	Pst	2017	Asia	China	unknown	Unknown	Other	Unknown	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
14.0001	Pst	21/05/2014	Europe	Croatia	Osijek	Unknown	PstS7	Novosevovie	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0011	Pst	13/05/2014	Europe	Croatia	unknown	Unknown	PstS7	Alison Bentley	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0002	Pst	12/06/2014	Europe	Czech Republic	Rokytnice	Tilman	PstS7	Vaclav Sklenar	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0059	Pst	19/06/2014	Europe	Czech Republic	Olomouc	Perenial grass	PstS7	Ruth Bryant	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0060	Pst	19/06/2014	Europe	Czech Republic	Olomouc	NIC08-108	PstS7	Ruth Bryant	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0061	Pst	19/06/2014	Europe	Czech Republic	Olomouc	Turandot Baryton cross	PstS7	Ruth Bryant	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0029	Pst	16/05/2014	Africa	Ethiopia	Kulumsa, Oromia	Unknown	Other	Dave Hodson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0030	Pst	16/05/2014	Africa	Ethiopia	Kulumsa, Oromia	Unknown	Other	Dave Hodson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0236	Pst	01/12/2014	Africa	Ethiopia	Sinana	Unknown	Other	Dave Hodson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0238	Pst	01/12/2014	Africa	Ethiopia	Sinana	Hidase	Other	Dave Hodson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0239	Pst	01/12/2014	Africa	Ethiopia	Sinana	Henkolo	Other	Dave Hodson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0240	Pst	01/12/2014	Africa	Ethiopia	Sinana	Sanate	Other	Dave Hodson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
16.0774	Pst	05/12/2016	Africa	Ethiopia	Sinana	Hoggana	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0775	Pst	05/12/2016	Africa	Ethiopia	Sinana	Digalu	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0776	Pst	05/12/2016	Africa	Ethiopia	Sinana	Millenium	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
16.0779	Pst	05/12/2016	Africa	Ethiopia	Sinana	SPPSN#15	Other	Ayele and Bekele	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
14.0004	Pst	16/06/2014	Europe	France	Marchelepot	Glasgow	PstS10	J-C Talbourdet	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0005	Pst	16/06/2014	Europe	France	Marchelepot	Trapez	PstS10	J-C Talbourdet	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0006	Pst	16/06/2014	Europe	France	Marchelepot	Bergoumo	PstS10	J-C Talbourdet	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0007	Pst	10/06/2014	Europe	France	Pontfaverger	Trapez	PstS10	Briard	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0014	Pst	02/06/2014	Europe	France	Gourhel	Altigo	PstS10	Grellier	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0015	Pst	04/06/2014	Europe	France	Guegon	Expert	PstS7	Grellier	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0016	Pst	04/06/2014	Europe	France	Loyat	Alixan	PstS10	Grellier	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0046	Pst	25/06/2014	Europe	France	Bucy-Saint-Liphard	Hysun	PstS10	Hamon	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0047	Pst	25/06/2014	Europe	France	Bucy-Saint-Liphard	Karur	PstS10	Hamon	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0062	Pst	23/06/2014	Europe	France	Druelle	Unknown Triticale	Triticale	Ruth Bryant	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0094	Pst	03/06/2014	Europe	France	Nangis, Seine-et-Marne	Rosario	PstS10	Bazelaine	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0108	Pst	11/06/2014	Europe	France	unknown	Unknown Durum Wheat	PstS10	Claude Pope	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
15.0188	Pst	04/06/2015	Europe	France	Castanet	Triticale Orleac	Triticale	J P Legoff	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0189	Pst	04/06/2015	Europe	France	Castanet	Triticale Ragtac	Triticale	J P Legoff	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0190	Pst	04/06/2015	Europe	France	Castanet	Triticale Tarzan	Triticale	J P Legoff	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
15.0191	Pst	04/06/2015	Europe	France	Castanet	Triticale Fido	Triticale	J P Legoff	Radhakrishnan et al., 2019	Mobile and real-time plant disease (MARPLE) diagnostics for strain-level identification of complex fungal pathogens	BMC Biology	https://www.ncbi.nlm.nih.gov/pubmed/31405370
FW1	Pst	2013	Europe	France	unknown	Unknown	France 1988-2013	Unknown	Hubbard et al., 2015	Field pathogenomics reveals the emergence of a diverse wheat yellow rust population	Genome Biol. (1): 23 (2015)	https://genomebiology.biomedcentral.com/articles/10.1186/s13059-015-0590-8
15.0095	Pst	18/05/2015	Europe	France	Louville	Oakley	Triticum aestivum	Unknown	Corredor-Moreno et al., 2021	The branched-chain amino acid aminotransferase TaBCAT1 modulates amino acid metabolism and positively regulates wheat rust susceptibility	The Plant Cell (5)	https://doi.org/10.1093/plcell/koab049
15.0383	Pst	03/06/2015	Europe	France	Saultain	Solstice	Triticum aestivum	Unknown	Corredor-Moreno et al., 2021	The branched-chain amino acid aminotransferase TaBCAT1 modulates amino acid metabolism and positively regulates wheat rust susceptibility	The Plant Cell (5)	https://doi.org/10.1093/plcell/koab049
16.0606	Pst	08/06/2016	Europe	France	Allonnes	Oakley	Triticum aestivum	Unknown	Corredor-Moreno et al., 2021	The branched-chain amino acid aminotransferase TaBCAT1 modulates amino acid metabolism and positively regulates wheat rust susceptibility	The Plant Cell (5)	https://doi.org/10.1093/plcell/koab049
16.0607	Pst	08/06/2016	Europe	France	Allonnes	Oakley	Triticum aestivum	Unknown	Corredor-Moreno et al., 2021	The branched-chain amino acid aminotransferase TaBCAT1 modulates amino acid metabolism and positively regulates wheat rust susceptibility	The Plant Cell (5)	https://doi.org/10.1093/plcell/koab049
14.0035	Pst	10/06/2014	Europe	Germany	Moselsürsch	Akteur	PstS10	Prochnow: Rosie Bryson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0036	Pst	13/06/2014	Europe	Germany	Etzdorf	JB Asano	PstS10	Prochnow: Rosie Bryson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0037	Pst	13/06/2014	Europe	Germany	Etzdorf	Kometus	PstS10	Prochnow: Rosie Bryson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0039	Pst	16/06/2014	Europe	Germany	Hingste	Opal	PstS10	Prochnow: Rosie Bryson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
14.0040	Pst	16/06/2014	Europe	Germany	Hingste	Akteur	PstS10	Prochnow: Rosie Bryson	Bueno-Sancho et al., 2017	Pathogenomic Analysis of Wheat Yellow Rust Lineages Detects Seasonal Variation and Host Specificity	Genome Biol Evol (12), 3282-3296 (2017)	https://academic.oup.com/gbe/article/9/12/3282/4644453
